Claim_ID,Customer_Age,Policy_Tenure,Claim_Amount,Claim_Type,Previous_Claims,Customer_Income,Marital_Status,Number_of_Dependents,Location,Claim_Submission_Delay,Fraudulent_Claim,anomaly_score,IsolationForest_Anomaly,High_Anomaly
24,41,17,20362.0,Medical,4,56516,Divorced,3,Rural,51,0,-0.0576149094614572,0,0
25,61,18,42826.38,Auto,3,91114,Single,3,Urban,54,0,-0.06852339654274286,0,0
26,47,6,21879.97,Auto,1,142078,Divorced,3,Rural,72,0,-0.11812523530353913,0,0
27,55,17,19611.91,Medical,2,149657,Single,2,Suburban,11,0,-0.0426711427861024,0,0
28,19,18,34646.27,Medical,2,81240,Widowed,0,Rural,13,0,-0.011463760928117739,0,0
29,77,8,30320.83,Life,0,61798,Widowed,4,Suburban,34,0,-0.002308789080968432,0,0
30,38,9,5808.72,Life,2,138371,Divorced,4,Rural,5,0,-0.06467017957717758,0,0
31,50,6,25654.36,Auto,4,86473,Single,1,Suburban,46,1,-0.07846235337745666,0,0
32,29,5,36906.18,Life,1,145811,Single,0,Suburban,22,0,-0.02137134165306198,0,0
33,75,12,49607.7,Medical,3,151496,Married,0,Suburban,67,0,-0.013167173361205542,0,0
34,39,11,31642.77,Auto,3,129806,Married,2,Rural,64,1,-0.09891165583696343,0,0
35,78,1,18829.51,Home,4,154123,Widowed,3,Rural,58,0,-0.01714576168284776,0,0
36,61,11,11694.5,Home,2,121209,Widowed,0,Urban,8,1,-0.035555660916681386,0,0
37,42,19,43705.1,Medical,1,116878,Married,3,Suburban,57,0,-0.03323066324567081,0,0
38,66,9,40820.98,Life,2,97774,Single,2,Urban,47,0,-0.05439490756921295,0,0
39,44,2,12079.18,Home,0,47786,Divorced,1,Urban,62,0,-0.039998446129723364,0,0
40,76,12,10431.29,Life,2,115204,Divorced,1,Suburban,8,0,-0.0572197494142731,0,0
41,59,4,35899.27,Home,0,152339,Single,3,Urban,43,1,-0.04248298376470783,0,0
42,45,4,16090.13,Life,3,39650,Widowed,3,Rural,45,0,-0.05017854469322469,0,0
43,77,18,15666.74,Home,1,27017,Divorced,0,Urban,14,0,-0.027267360894996484,0,0
44,33,15,8038.37,Home,0,160921,Single,2,Rural,87,0,-0.02279332760971886,0,0
45,32,19,13566.79,Auto,2,82453,Divorced,1,Suburban,52,0,-0.10514668275337108,0,0
46,79,13,21661.62,Auto,2,195971,Single,0,Suburban,47,0,-0.035289218802056266,0,0
47,79,19,36775.5,Medical,3,192716,Married,4,Suburban,71,0,0.005713631278040254,1,1
48,64,17,17147.25,Home,4,87762,Married,0,Urban,41,1,-0.008025964523402984,0,0
49,79,6,16765.91,Life,4,155460,Divorced,3,Suburban,16,0,-0.03821199338429759,0,0
50,68,16,14603.21,Home,2,87958,Divorced,4,Suburban,34,0,-0.05780207276805671,0,0
51,61,12,24175.04,Life,4,191066,Divorced,0,Rural,30,0,-0.052492159902362334,0,0
52,72,19,9441.52,Life,1,97568,Divorced,2,Urban,3,0,-0.04374454444956255,0,0
53,69,5,24538.72,Home,4,92852,Married,1,Urban,47,0,-0.028353581519737547,0,0
54,74,17,35356.69,Life,1,153915,Married,4,Suburban,13,0,-0.022695409521697685,0,0
55,20,1,1974.63,Medical,2,48015,Single,2,Urban,24,0,0.0037720489239021493,1,1
56,54,10,984.08,Auto,2,196303,Divorced,0,Suburban,45,0,-0.05942343041433473,0,0
57,68,15,4218.58,Life,2,66546,Married,3,Rural,47,0,-0.04896693874310254,0,0
58,24,11,27015.17,Home,3,71055,Widowed,3,Urban,39,0,-0.04640833628379726,0,0
59,38,13,42795.53,Auto,4,122528,Single,2,Urban,49,0,-0.06950888859912085,0,0
60,26,5,741.78,Medical,0,123283,Single,3,Rural,6,0,-0.013033633158658242,0,0
61,56,1,46864.73,Life,0,69577,Single,1,Urban,59,0,-0.0029989591761949708,0,0
62,35,12,5760.79,Life,2,186241,Widowed,2,Suburban,34,0,-0.04040268353574139,0,0
63,21,11,42178.18,Auto,4,192781,Widowed,2,Urban,62,1,-0.0313297404679026,0,0
64,42,17,24401.31,Life,1,49415,Widowed,3,Urban,19,0,-0.030128196172709565,0,0
65,77,4,33138.19,Home,0,166757,Married,2,Rural,15,0,-0.01801898584761319,0,0
66,31,15,25778.81,Auto,2,35963,Widowed,0,Rural,21,0,-0.061329391047200366,0,0
67,67,9,24113.89,Auto,0,180770,Single,4,Suburban,35,0,-0.048662190914451564,0,0
68,75,19,41827.52,Life,0,82415,Divorced,4,Urban,18,0,-0.027431329507954794,0,0
69,26,19,37916.38,Medical,0,76400,Single,3,Urban,1,0,-8.924622580930297e-05,0,0
70,43,12,24428.41,Medical,2,134731,Single,1,Rural,67,0,-0.0579399612081094,0,0
71,70,5,6025.98,Medical,2,75450,Married,1,Suburban,6,0,-0.03416821104938428,0,0
72,19,10,6212.45,Medical,3,106962,Single,3,Urban,46,0,-0.010950415867525654,0,0
73,37,17,40176.2,Auto,3,171650,Married,3,Suburban,48,0,-0.05924584487793172,0,0
74,45,5,26704.84,Auto,3,138639,Married,2,Urban,77,0,-0.0735728664072115,0,0
75,64,16,24338.66,Life,0,48842,Divorced,1,Rural,42,0,-0.07535813047981965,0,0
76,77,7,34188.06,Medical,4,36531,Single,4,Rural,31,1,-0.01517906492629173,0,0
77,24,9,43012.66,Medical,2,153242,Divorced,3,Rural,16,0,-0.0704782355101593,0,0
78,61,3,31629.22,Life,3,141843,Divorced,4,Rural,13,0,-0.07013723856283327,0,0
79,78,15,38260.97,Life,4,158369,Single,4,Rural,80,0,-0.00017009263106904093,0,0
80,25,16,38380.89,Life,3,24163,Single,1,Rural,31,0,-0.025710703949630265,0,0
81,64,18,18134.94,Home,3,60794,Widowed,4,Suburban,59,0,-0.024751123583795498,0,0
82,52,14,14067.12,Life,4,61787,Widowed,2,Rural,59,0,-0.04309649118395942,0,0
83,31,3,40157.62,Life,3,128248,Married,2,Suburban,51,0,-0.04178037585377281,0,0
84,34,12,19170.35,Home,0,77219,Single,1,Rural,65,0,-0.05374941929142962,0,0
85,53,9,45215.13,Medical,0,121243,Married,2,Urban,3,0,-0.009891719493272833,0,0
86,67,7,3949.69,Auto,0,130224,Divorced,3,Urban,62,0,-0.07822517664567075,0,0
87,57,9,3381.77,Medical,1,44448,Divorced,1,Urban,32,0,-0.04158173203208426,0,0
88,21,13,46386.71,Auto,3,76437,Widowed,4,Suburban,0,0,-0.03307661877508172,0,0
89,19,18,32598.52,Auto,1,48299,Married,3,Rural,63,0,-0.055894577532487943,0,0
90,79,5,19290.17,Life,2,192191,Single,1,Suburban,36,0,-0.013024234677869173,0,0
91,23,13,37875.49,Life,4,97093,Single,4,Rural,77,0,-0.014601335357617873,0,0
92,71,4,33780.18,Home,2,189720,Widowed,4,Urban,69,1,-0.016305064580736994,0,0
93,59,2,26794.45,Medical,1,165168,Widowed,4,Suburban,6,0,-0.016734429011465046,0,0
94,21,16,5394.23,Medical,0,145113,Married,4,Rural,23,1,0.002957776902216769,1,1
95,71,9,40702.89,Auto,3,119317,Widowed,4,Suburban,67,0,-0.0692308237770295,0,0
96,46,9,43368.15,Life,3,158463,Widowed,1,Suburban,54,0,-0.04795142742795333,0,0
97,35,6,9022.35,Life,0,94891,Widowed,2,Urban,88,0,-0.0180986227737987,0,0
98,43,11,42600.33,Medical,3,60286,Divorced,4,Urban,2,0,-0.024291721068359085,0,0
99,61,1,43953.44,Home,4,111353,Married,3,Urban,22,0,-0.008814579521983723,0,0
100,51,4,27696.72,Life,4,131027,Single,1,Urban,35,0,-0.03811683535348809,0,0
101,27,13,32980.86,Home,4,57595,Single,0,Urban,56,0,-0.01893331233219675,0,0
102,79,13,19420.75,Medical,2,148840,Married,2,Rural,47,0,-0.04830475597677675,0,0
103,53,13,14448.69,Medical,0,82740,Widowed,3,Rural,12,0,-0.03792653503299337,0,0
104,31,2,36238.17,Home,4,70929,Widowed,4,Urban,60,0,-0.018427767579327736,0,0
105,48,9,43162.82,Life,1,52827,Single,1,Urban,85,0,-0.02654942880003397,0,0
106,65,8,32876.84,Medical,4,46209,Divorced,1,Urban,88,0,-0.022636471641255818,0,0
107,32,7,25823.74,Auto,2,117654,Married,4,Suburban,23,0,-0.07035703433178175,0,0
108,25,4,8366.78,Medical,1,128947,Widowed,3,Urban,42,0,-0.022352295870063044,0,0
109,31,18,3146.21,Life,0,93396,Divorced,1,Rural,32,1,-0.05719026145849093,0,0
110,40,3,22561.74,Auto,0,164878,Divorced,2,Rural,77,0,-0.0921767019182122,0,0
111,77,6,2942.8,Medical,4,133254,Widowed,3,Suburban,23,1,-0.004641687305727782,0,0
112,74,12,28682.06,Life,1,176478,Married,4,Rural,21,0,-0.04233856832881833,0,0
113,79,12,19445.09,Life,1,185432,Married,3,Urban,51,1,-0.028504001907911802,0,0
114,57,8,37980.86,Medical,4,100000,Single,3,Suburban,86,0,-0.017835424984416037,0,0
115,38,1,15629.6,Life,4,58865,Single,0,Suburban,5,1,0.008585259939525969,1,1
116,33,4,29852.64,Home,3,157530,Married,4,Rural,18,0,-0.04501787280552705,0,0
117,62,11,27115.33,Auto,3,29151,Widowed,2,Urban,75,0,-0.0669187373740513,0,0
118,35,3,733.27,Home,4,150759,Married,4,Urban,89,0,0.01564854102417279,1,1
119,64,13,4083.28,Medical,2,92024,Single,0,Urban,28,0,-0.012306234843539987,0,0
120,70,17,14873.23,Home,3,175613,Single,4,Suburban,63,0,-0.024535988922377072,0,0
121,41,10,44170.64,Medical,4,144001,Single,4,Rural,13,0,-0.0007040009501377842,0,0
122,43,12,7777.24,Medical,1,172875,Married,2,Rural,80,1,-0.037780462159333394,0,0
123,42,15,35689.27,Life,3,63183,Married,0,Rural,29,0,-0.04439597233821313,0,0
124,77,10,48681.65,Life,2,195848,Widowed,4,Urban,70,0,0.0043511398924866995,1,1
125,77,14,39633.09,Medical,0,82323,Single,4,Suburban,20,0,-0.005244723259156592,0,0
126,77,13,12525.8,Auto,1,143978,Divorced,1,Suburban,64,0,-0.0900871808109504,0,0
127,62,5,45464.08,Auto,2,110254,Divorced,4,Rural,3,0,-0.08704711163414375,0,0
128,58,6,5108.8,Auto,2,162242,Widowed,2,Rural,45,0,-0.08955120224745872,0,0
129,46,2,23673.03,Home,2,67284,Widowed,1,Suburban,7,1,-0.03027138679430097,0,0
130,32,17,44433.32,Medical,1,160332,Single,0,Rural,17,0,-0.024820704725406095,0,0
131,62,4,32242.65,Life,2,158708,Married,3,Suburban,59,0,-0.0556271929344776,0,0
132,18,14,20975.41,Home,0,122491,Married,2,Suburban,44,0,-0.035323388501294795,0,0
133,42,10,14994.24,Home,3,56108,Divorced,0,Rural,71,0,-0.06663413076261537,0,0
134,24,3,19067.42,Life,1,35941,Single,1,Suburban,30,0,-0.020105625118903014,0,0
135,26,3,25692.62,Medical,2,179427,Divorced,3,Suburban,27,0,-0.05146931534781285,0,0
136,41,15,16292.67,Home,4,92836,Divorced,0,Rural,63,0,-0.060549279531684985,0,0
137,18,6,48463.91,Medical,3,107719,Single,2,Rural,36,0,-0.027694459620332013,0,0
138,61,17,46687.34,Medical,1,184805,Widowed,1,Rural,66,0,-0.022712696248567088,0,0
139,25,12,43598.24,Medical,4,27444,Divorced,2,Suburban,78,0,-0.012347678565954756,0,0
140,41,11,21380.58,Life,4,111291,Widowed,2,Rural,67,0,-0.0656418099411955,0,0
141,28,4,34719.44,Medical,2,108598,Married,1,Rural,34,0,-0.056241245512587024,0,0
142,68,6,45190.05,Home,1,165682,Divorced,4,Suburban,35,0,-0.046463201275636745,0,0
143,34,1,42596.26,Life,2,86036,Single,2,Suburban,56,0,-0.03316570610086378,0,0
144,25,16,21009.19,Life,0,24554,Widowed,1,Rural,69,0,-0.020382272626664144,0,0
145,52,15,6063.11,Home,4,45545,Married,2,Rural,3,1,-0.019417998761308453,0,0
146,52,17,4243.7,Life,0,150745,Married,4,Suburban,48,0,-0.02925659097698463,0,0
147,50,8,29064.67,Home,2,81971,Divorced,1,Suburban,38,0,-0.09288345707393908,0,0
148,76,12,32310.08,Auto,3,66059,Married,0,Urban,17,0,-0.04607041838128845,0,0
149,22,10,42567.21,Home,4,157843,Single,0,Suburban,59,1,-0.01814298424283789,0,0
150,59,15,14979.49,Life,3,89468,Divorced,0,Suburban,85,0,-0.051426863280296,0,0
151,56,9,8789.79,Home,1,46055,Married,3,Urban,9,0,-0.0304506678316675,0,0
152,75,2,19260.79,Auto,4,188274,Single,2,Rural,22,0,-0.045208474381920105,0,0
153,58,5,18001.97,Medical,0,178772,Widowed,2,Urban,67,0,-0.023866562845620276,0,0
154,45,6,7057.21,Medical,3,23567,Widowed,1,Suburban,58,0,-0.022685247106969175,0,0
155,24,7,33777.99,Medical,1,193908,Divorced,3,Urban,82,0,-0.02477239189586855,0,0
156,26,1,25680.25,Life,4,46627,Single,2,Urban,89,0,0.007213711977332338,1,1
157,25,7,36195.58,Auto,1,189640,Married,1,Urban,6,0,-0.03754401347655911,0,0
158,29,12,17958.21,Home,0,171832,Divorced,4,Urban,12,0,-0.04574860170479622,0,0
159,51,16,16622.26,Home,4,181057,Divorced,2,Urban,2,0,-0.0343146785232723,0,0
160,50,16,23892.5,Home,1,99944,Married,2,Urban,39,1,-0.048784580648267184,0,0
161,65,11,43931.66,Home,2,115368,Single,4,Rural,10,1,-0.04472410252465664,0,0
162,72,4,2493.92,Life,4,60785,Married,4,Urban,79,0,0.016066809406432903,1,1
163,40,13,40339.22,Life,4,186655,Widowed,2,Urban,83,0,-0.019974139594999163,0,0
164,79,7,18764.89,Auto,4,184810,Divorced,4,Urban,50,1,-0.06108392766331061,0,0
165,41,4,42803.64,Home,4,44204,Widowed,1,Urban,86,0,-0.008812716824534106,0,0
166,54,15,40209.05,Medical,2,36643,Divorced,2,Suburban,22,0,-0.06311754020196736,0,0
167,52,19,17763.68,Life,0,90561,Married,2,Urban,31,1,-0.0369509693714305,0,0
168,61,9,34846.89,Auto,2,57126,Single,0,Urban,40,0,-0.06609892879140156,0,0
169,57,11,8401.82,Auto,2,78126,Married,2,Urban,41,0,-0.07537326016363977,0,0
170,39,8,44865.94,Life,1,102424,Widowed,0,Rural,37,0,-0.038091747208950366,0,0
171,44,1,20522.31,Medical,3,144453,Single,4,Urban,66,1,-0.012162309423151108,0,0
172,52,8,23053.47,Medical,3,65258,Single,4,Suburban,71,0,-0.029468210718986088,0,0
173,18,13,35435.07,Home,1,54527,Divorced,1,Rural,77,0,-0.055289036152453286,0,0
174,52,4,41131.59,Life,2,43898,Single,0,Suburban,71,0,-0.0065690956510652265,0,0
175,54,8,12198.97,Medical,1,197507,Divorced,2,Rural,74,0,-0.056835863805000164,0,0
176,64,3,33236.83,Life,4,23794,Single,0,Rural,41,0,-0.0007991897291927952,0,0
177,31,9,19903.9,Auto,1,165770,Single,4,Urban,42,0,-0.08089587839197582,0,0
178,20,2,18750.79,Auto,1,163404,Divorced,4,Urban,32,0,-0.07793314680788666,0,0
179,18,2,34656.28,Auto,4,29593,Single,1,Rural,78,0,-0.027567166674374532,0,0
180,22,13,19665.57,Life,3,78132,Married,4,Urban,36,0,-0.03356762990857742,0,0
181,43,15,17632.37,Home,4,140973,Single,0,Urban,77,0,-0.028112478622456583,0,0
182,72,12,41876.48,Home,0,121633,Widowed,2,Rural,89,0,-0.04058590217782476,0,0
183,31,4,5513.17,Medical,1,31036,Divorced,2,Rural,56,0,-0.05346091270043474,0,0
184,56,8,33956.68,Life,1,114097,Divorced,0,Suburban,63,0,-0.05572103573877962,0,0
185,44,9,12811.91,Home,3,73164,Married,1,Rural,63,0,-0.05744374539689345,0,0
186,26,5,1267.16,Life,2,170423,Widowed,2,Suburban,59,0,-0.026234826775257125,0,0
187,32,18,8754.83,Home,4,78413,Single,0,Suburban,51,0,-0.015035975057017148,0,0
188,32,11,30529.75,Auto,2,38059,Married,0,Urban,71,0,-0.037424073157478976,0,0
189,43,15,35601.8,Auto,0,47188,Single,4,Urban,67,0,-0.0460921379951762,0,0
190,59,9,1542.36,Medical,4,118591,Married,4,Rural,81,0,-0.014659656957243805,0,0
191,77,17,2303.06,Auto,0,101795,Divorced,1,Rural,26,0,-0.0719480527108387,0,0
192,30,12,45175.83,Home,0,31829,Widowed,1,Suburban,58,0,-0.00581183198025359,0,0
193,68,7,4128.64,Medical,0,93673,Divorced,1,Suburban,18,0,-0.041082150372416915,0,0
194,49,10,44762.02,Medical,4,44502,Married,0,Urban,2,0,0.008031365046554995,1,1
195,56,10,11794.21,Auto,4,178276,Single,0,Rural,72,0,-0.04915788123311815,0,0
196,66,13,37130.88,Life,3,21265,Widowed,4,Rural,38,0,-0.03956848508618416,0,0
197,69,19,15831.8,Auto,1,186823,Single,2,Rural,65,0,-0.06540694016778825,0,0
198,78,11,43008.23,Auto,2,175387,Divorced,1,Rural,72,0,-0.09040255076663634,0,0
199,49,13,35172.52,Medical,2,67457,Single,3,Urban,55,0,-0.04607362510630564,0,0
200,21,8,20389.77,Auto,0,66875,Married,1,Urban,5,0,-0.03429021071015681,0,0
201,47,8,4276.97,Home,4,80359,Widowed,4,Suburban,27,1,-0.016697134592590923,0,0
202,54,4,36768.66,Medical,4,126334,Widowed,0,Urban,47,0,-0.01135753968850639,0,0
203,40,15,31035.8,Auto,0,142950,Widowed,4,Suburban,47,0,-0.07076852804217515,0,0
204,56,11,644.13,Life,1,194492,Married,4,Urban,66,0,-0.006984050711760448,0,0
205,62,11,966.28,Home,2,184451,Single,4,Urban,53,0,-0.03613532874194525,0,0
206,32,1,40535.25,Life,3,84102,Widowed,3,Rural,15,1,-0.03031457009977745,0,0
207,60,17,13340.29,Home,1,121827,Divorced,3,Suburban,34,0,-0.07491997304211162,0,0
208,46,15,31988.62,Life,4,112688,Divorced,1,Suburban,74,0,-0.06559059274562606,0,0
209,53,6,22983.61,Auto,0,79469,Divorced,0,Suburban,86,0,-0.059082952154804635,0,0
210,30,15,43239.79,Home,2,115789,Divorced,4,Urban,29,0,-0.063343691798601,0,0
211,49,9,45889.58,Medical,0,185468,Divorced,2,Rural,47,0,-0.06457893530293302,0,0
212,24,14,49841.98,Medical,4,33176,Married,1,Urban,68,0,0.012256990032045723,1,1
213,76,18,8107.36,Life,0,85036,Single,1,Rural,7,0,-0.027286453693077806,0,0
214,68,17,43216.72,Life,2,27907,Married,4,Urban,50,0,-0.013084178559570114,0,0
215,39,18,13668.06,Life,0,23372,Divorced,1,Suburban,9,0,-0.03096225524780094,0,0
216,45,5,29745.39,Home,2,178644,Divorced,4,Urban,27,0,-0.063214511038297,0,0
217,19,9,25535.76,Medical,0,44592,Widowed,1,Suburban,35,0,-0.004577459141781537,0,0
218,59,11,1390.41,Auto,0,164174,Widowed,0,Rural,59,0,-0.05251695113291821,0,0
219,62,1,46672.18,Home,2,128093,Single,1,Suburban,9,0,-0.021037425619019223,0,0
220,79,18,4377.19,Life,0,176714,Single,1,Suburban,13,0,0.0002922879549144275,1,1
221,74,6,34566.84,Medical,1,23139,Single,2,Suburban,62,0,-0.018212259737974135,0,0
222,70,2,39357.84,Life,3,97179,Married,0,Suburban,46,0,-0.015747480344554532,0,0
223,23,15,39866.75,Auto,1,38643,Widowed,0,Rural,68,0,-0.03756766560103786,0,0
224,45,14,7206.98,Auto,3,124425,Single,0,Urban,55,0,-0.06557779283561427,0,0
225,45,5,22654.71,Medical,1,80117,Widowed,1,Urban,5,0,-0.03272858596482342,0,0
226,61,6,41556.73,Home,3,179852,Widowed,3,Urban,18,0,-0.026589772191055516,0,0
227,61,6,15482.62,Auto,0,126485,Widowed,1,Urban,51,0,-0.07212349303583232,0,0
228,37,18,23653.56,Auto,2,133607,Widowed,4,Suburban,61,0,-0.07155164591709817,0,0
229,47,14,14003.3,Auto,2,80332,Widowed,2,Rural,48,0,-0.10110475940523372,0,0
230,79,10,23445.8,Auto,4,50632,Widowed,0,Rural,77,0,-0.030326711707973963,0,0
231,28,14,44447.98,Life,3,189565,Married,4,Urban,10,0,-0.0042023050515260785,0,0
232,75,13,23028.65,Life,4,199424,Divorced,4,Urban,45,0,-0.028636704406257096,0,0
233,72,3,28017.64,Home,4,180480,Widowed,3,Rural,68,0,-0.025216248755225656,0,0
234,45,6,20496.83,Medical,3,107157,Married,0,Rural,44,0,-0.05371412659236563,0,0
235,42,8,23275.8,Medical,2,177011,Single,1,Suburban,57,0,-0.05209349413852149,0,0
236,56,12,1251.12,Medical,3,197952,Married,0,Rural,31,0,-0.010447060118852103,0,0
237,79,13,14545.4,Auto,0,56843,Married,2,Rural,87,0,-0.04318413898590168,0,0
238,50,11,22110.8,Life,4,58930,Married,0,Suburban,9,0,-0.011254295905799183,0,0
239,18,12,31872.95,Life,4,180942,Widowed,4,Suburban,12,0,-0.0016764933332252818,0,0
240,74,1,22777.57,Home,3,125940,Single,4,Suburban,12,0,-0.010389972502812928,0,0
241,44,17,17221.94,Medical,4,78103,Married,1,Rural,35,0,-0.0405311341341309,0,0
242,79,16,19710.89,Life,2,60770,Single,1,Rural,85,0,-0.018707205062179266,0,0
243,74,11,12493.52,Home,4,131757,Married,1,Rural,72,1,-0.03850391703272005,0,0
244,69,13,46262.47,Medical,3,50158,Widowed,2,Suburban,18,0,-0.02544356463901687,0,0
245,30,18,26326.29,Auto,2,108992,Married,0,Rural,6,1,-0.0695642614717199,0,0
246,58,11,1163.77,Life,2,67401,Married,3,Rural,14,0,-0.0553536326513443,0,0
247,20,12,1462.59,Life,4,164064,Single,0,Suburban,80,0,0.020617766868169407,1,1
248,56,6,48661.6,Medical,3,176462,Single,1,Urban,45,0,-0.014988397277049148,0,0
249,23,9,11461.82,Auto,4,65858,Single,2,Urban,77,0,-0.046699978524969654,0,0
250,25,16,40377.61,Auto,0,167828,Divorced,0,Rural,47,0,-0.0692650401176117,0,0
251,44,4,3384.63,Life,0,173043,Single,4,Suburban,65,0,-6.215431041090014e-05,0,0
252,26,3,46097.56,Medical,2,158143,Married,0,Suburban,77,0,0.0008729938359642864,1,1
253,79,16,43783.64,Home,4,197589,Divorced,4,Rural,3,0,-0.0047908537219146785,0,0
254,54,12,28769.11,Life,0,104811,Single,0,Rural,2,1,-0.03350642669758408,0,0
255,50,11,945.43,Auto,1,149970,Widowed,0,Urban,2,0,-0.02722098427170172,0,0
256,68,5,13261.64,Home,0,26586,Single,0,Suburban,74,0,0.011544646596872044,1,1
257,59,18,20637.72,Medical,4,39703,Widowed,1,Rural,68,0,-0.01977343569589829,0,0
258,61,19,23273.17,Auto,4,96177,Divorced,4,Suburban,27,0,-0.07305278109131907,0,0
259,41,6,15235.1,Home,0,56735,Widowed,2,Rural,22,0,-0.057382043461809196,0,0
260,32,18,2130.92,Life,4,118525,Divorced,3,Urban,29,0,-0.030797525240537804,0,0
261,76,6,29711.31,Auto,4,59648,Widowed,4,Rural,61,0,-0.04289801561603823,0,0
262,71,4,26445.66,Medical,1,163201,Single,1,Urban,86,0,-0.006069040260788916,0,0
263,49,12,14508.53,Auto,2,56656,Divorced,4,Urban,50,0,-0.09882059665932086,0,0
264,49,19,2379.81,Life,4,180737,Married,2,Rural,40,1,-0.023500605860777846,0,0
265,41,2,49732.41,Medical,3,164571,Married,4,Rural,85,0,7.898542004958209e-05,1,1
266,58,17,24358.32,Life,2,95888,Married,1,Urban,63,0,-0.03902773656840053,0,0
267,69,11,37922.21,Home,2,39654,Single,1,Suburban,42,1,-0.04100112226272545,0,0
268,66,11,22889.54,Auto,3,150117,Married,3,Suburban,75,0,-0.08032665017285223,0,0
269,79,16,2636.93,Life,0,106613,Divorced,2,Urban,57,0,-0.01928751921248051,0,0
270,66,2,15825.24,Home,1,38982,Married,3,Urban,58,0,-0.022284016680377938,0,0
271,75,2,16345.45,Medical,4,119970,Divorced,0,Rural,39,0,-0.040716015630618996,0,0
272,69,8,41998.47,Medical,0,101848,Married,1,Rural,45,0,-0.04571905508290941,0,0
273,29,13,32884.38,Home,3,129577,Widowed,3,Urban,61,0,-0.04826242590596763,0,0
274,79,10,14133.78,Home,1,99874,Divorced,1,Urban,48,0,-0.0594883229958425,0,0
275,56,8,48403.13,Medical,1,50173,Married,1,Suburban,78,0,-0.027149984491499635,0,0
276,19,4,16416.32,Life,1,146765,Married,0,Suburban,22,0,-0.0077069516845811314,0,0
277,20,15,49912.58,Home,3,57525,Married,1,Suburban,43,0,-0.007724818216871654,0,0
278,66,1,49810.1,Life,0,47328,Divorced,3,Urban,43,0,-0.0199857072706372,0,0
279,54,11,9964.92,Medical,4,162432,Divorced,2,Urban,18,0,-0.04117370861125047,0,0
280,66,7,15980.69,Life,1,136242,Married,4,Suburban,43,0,-0.04527765132915007,0,0
281,73,17,24559.19,Life,1,124419,Widowed,3,Suburban,10,0,-0.030454627340812057,0,0
282,34,18,33372.98,Home,0,42625,Divorced,0,Rural,59,0,-0.04660947952287564,0,0
283,76,12,26638.35,Life,1,127576,Divorced,4,Rural,37,0,-0.08099343623723987,0,0
284,66,9,48487.35,Life,1,195966,Widowed,1,Urban,2,0,-0.008081801349617224,0,0
285,19,5,36337.46,Life,3,36471,Single,3,Rural,15,0,-0.026224583990629657,0,0
286,19,10,10996.22,Medical,2,59883,Widowed,4,Urban,8,0,-0.0026061298894429763,0,0
287,45,4,5702.33,Medical,0,22703,Married,3,Urban,40,0,-0.0027700215347712387,0,0
