Claim_ID,Customer_Age,Policy_Tenure,Claim_Amount,Claim_Type,Previous_Claims,Customer_Income,Marital_Status,Number_of_Dependents,Location,Claim_Submission_Delay,Fraudulent_Claim
32,29,5,36906.18,Life,1,145811,Single,0,Suburban,22,0
33,75,12,49607.7,Medical,3,151496,Married,0,Suburban,67,0
34,39,11,31642.77,Auto,3,129806,Married,2,Rural,64,1
35,78,1,18829.51,Home,4,154123,Widowed,3,Rural,58,0
36,61,11,11694.5,Home,2,121209,Widowed,0,Urban,8,1
37,42,19,43705.1,Medical,1,116878,Married,3,Suburban,57,0
38,66,9,40820.98,Life,2,97774,Single,2,Urban,47,0
39,44,2,12079.18,Home,0,47786,Divorced,1,Urban,62,0
40,76,12,10431.29,Life,2,115204,Divorced,1,Suburban,8,0
41,59,4,35899.27,Home,0,152339,Single,3,Urban,43,1
42,45,4,16090.13,Life,3,39650,Widowed,3,Rural,45,0
43,77,18,15666.74,Home,1,27017,Divorced,0,Urban,14,0
44,33,15,8038.37,Home,0,160921,Single,2,Rural,87,0
45,32,19,13566.79,Auto,2,82453,Divorced,1,Suburban,52,0
46,79,13,21661.62,Auto,2,195971,Single,0,Suburban,47,0
47,79,19,36775.5,Medical,3,192716,Married,4,Suburban,71,0
48,64,17,17147.25,Home,4,87762,Married,0,Urban,41,1
49,79,6,16765.91,Life,4,155460,Divorced,3,Suburban,16,0
50,68,16,14603.21,Home,2,87958,Divorced,4,Suburban,34,0
51,61,12,24175.04,Life,4,191066,Divorced,0,Rural,30,0
52,72,19,9441.52,Life,1,97568,Divorced,2,Urban,3,0
53,69,5,24538.72,Home,4,92852,Married,1,Urban,47,0
54,74,17,35356.69,Life,1,153915,Married,4,Suburban,13,0
55,20,1,1974.63,Medical,2,48015,Single,2,Urban,24,0
56,54,10,984.08,Auto,2,196303,Divorced,0,Suburban,45,0
57,68,15,4218.58,Life,2,66546,Married,3,Rural,47,0
58,24,11,27015.17,Home,3,71055,Widowed,3,Urban,39,0
59,38,13,42795.53,Auto,4,122528,Single,2,Urban,49,0
60,26,5,741.78,Medical,0,123283,Single,3,Rural,6,0
61,56,1,46864.73,Life,0,69577,Single,1,Urban,59,0
62,35,12,5760.79,Life,2,186241,Widowed,2,Suburban,34,0
63,21,11,42178.18,Auto,4,192781,Widowed,2,Urban,62,1
64,42,17,24401.31,Life,1,49415,Widowed,3,Urban,19,0
65,77,4,33138.19,Home,0,166757,Married,2,Rural,15,0
66,31,15,25778.81,Auto,2,35963,Widowed,0,Rural,21,0
67,67,9,24113.89,Auto,0,180770,Single,4,Suburban,35,0
68,75,19,41827.52,Life,0,82415,Divorced,4,Urban,18,0
69,26,19,37916.38,Medical,0,76400,Single,3,Urban,1,0
70,43,12,24428.41,Medical,2,134731,Single,1,Rural,67,0
71,70,5,6025.98,Medical,2,75450,Married,1,Suburban,6,0
72,19,10,6212.45,Medical,3,106962,Single,3,Urban,46,0
73,37,17,40176.2,Auto,3,171650,Married,3,Suburban,48,0
74,45,5,26704.84,Auto,3,138639,Married,2,Urban,77,0
75,64,16,24338.66,Life,0,48842,Divorced,1,Rural,42,0
76,77,7,34188.06,Medical,4,36531,Single,4,Rural,31,1
77,24,9,43012.66,Medical,2,153242,Divorced,3,Rural,16,0
78,61,3,31629.22,Life,3,141843,Divorced,4,Rural,13,0
79,78,15,38260.97,Life,4,158369,Single,4,Rural,80,0
80,25,16,38380.89,Life,3,24163,Single,1,Rural,31,0
81,64,18,18134.94,Home,3,60794,Widowed,4,Suburban,59,0
82,52,14,14067.12,Life,4,61787,Widowed,2,Rural,59,0
83,31,3,40157.62,Life,3,128248,Married,2,Suburban,51,0
84,34,12,19170.35,Home,0,77219,Single,1,Rural,65,0
85,53,9,45215.13,Medical,0,121243,Married,2,Urban,3,0
86,67,7,3949.69,Auto,0,130224,Divorced,3,Urban,62,0
87,57,9,3381.77,Medical,1,44448,Divorced,1,Urban,32,0
88,21,13,46386.71,Auto,3,76437,Widowed,4,Suburban,0,0
89,19,18,32598.52,Auto,1,48299,Married,3,Rural,63,0
90,79,5,19290.17,Life,2,192191,Single,1,Suburban,36,0
91,23,13,37875.49,Life,4,97093,Single,4,Rural,77,0
92,71,4,33780.18,Home,2,189720,Widowed,4,Urban,69,1
93,59,2,26794.45,Medical,1,165168,Widowed,4,Suburban,6,0
94,21,16,5394.23,Medical,0,145113,Married,4,Rural,23,1
95,71,9,40702.89,Auto,3,119317,Widowed,4,Suburban,67,0
96,46,9,43368.15,Life,3,158463,Widowed,1,Suburban,54,0
97,35,6,9022.35,Life,0,94891,Widowed,2,Urban,88,0
98,43,11,42600.33,Medical,3,60286,Divorced,4,Urban,2,0
99,61,1,43953.44,Home,4,111353,Married,3,Urban,22,0
100,51,4,27696.72,Life,4,131027,Single,1,Urban,35,0
101,27,13,32980.86,Home,4,57595,Single,0,Urban,56,0
102,79,13,19420.75,Medical,2,148840,Married,2,Rural,47,0
103,53,13,14448.69,Medical,0,82740,Widowed,3,Rural,12,0
104,31,2,36238.17,Home,4,70929,Widowed,4,Urban,60,0
105,48,9,43162.82,Life,1,52827,Single,1,Urban,85,0
106,65,8,32876.84,Medical,4,46209,Divorced,1,Urban,88,0
107,32,7,25823.74,Auto,2,117654,Married,4,Suburban,23,0
108,25,4,8366.78,Medical,1,128947,Widowed,3,Urban,42,0
109,31,18,3146.21,Life,0,93396,Divorced,1,Rural,32,1
110,40,3,22561.74,Auto,0,164878,Divorced,2,Rural,77,0
111,77,6,2942.8,Medical,4,133254,Widowed,3,Suburban,23,1
112,74,12,28682.06,Life,1,176478,Married,4,Rural,21,0
113,79,12,19445.09,Life,1,185432,Married,3,Urban,51,1
114,57,8,37980.86,Medical,4,100000,Single,3,Suburban,86,0
115,38,1,15629.6,Life,4,58865,Single,0,Suburban,5,1
116,33,4,29852.64,Home,3,157530,Married,4,Rural,18,0
117,62,11,27115.33,Auto,3,29151,Widowed,2,Urban,75,0
118,35,3,733.27,Home,4,150759,Married,4,Urban,89,0
119,64,13,4083.28,Medical,2,92024,Single,0,Urban,28,0
120,70,17,14873.23,Home,3,175613,Single,4,Suburban,63,0
121,41,10,44170.64,Medical,4,144001,Single,4,Rural,13,0
122,43,12,7777.24,Medical,1,172875,Married,2,Rural,80,1
123,42,15,35689.27,Life,3,63183,Married,0,Rural,29,0
124,77,10,48681.65,Life,2,195848,Widowed,4,Urban,70,0
125,77,14,39633.09,Medical,0,82323,Single,4,Suburban,20,0
126,77,13,12525.8,Auto,1,143978,Divorced,1,Suburban,64,0
127,62,5,45464.08,Auto,2,110254,Divorced,4,Rural,3,0
128,58,6,5108.8,Auto,2,162242,Widowed,2,Rural,45,0
129,46,2,23673.03,Home,2,67284,Widowed,1,Suburban,7,1
130,32,17,44433.32,Medical,1,160332,Single,0,Rural,17,0
131,62,4,32242.65,Life,2,158708,Married,3,Suburban,59,0
132,18,14,20975.41,Home,0,122491,Married,2,Suburban,44,0
133,42,10,14994.24,Home,3,56108,Divorced,0,Rural,71,0
134,24,3,19067.42,Life,1,35941,Single,1,Suburban,30,0
135,26,3,25692.62,Medical,2,179427,Divorced,3,Suburban,27,0
136,41,15,16292.67,Home,4,92836,Divorced,0,Rural,63,0
137,18,6,48463.91,Medical,3,107719,Single,2,Rural,36,0
138,61,17,46687.34,Medical,1,184805,Widowed,1,Rural,66,0
139,25,12,43598.24,Medical,4,27444,Divorced,2,Suburban,78,0
140,41,11,21380.58,Life,4,111291,Widowed,2,Rural,67,0
141,28,4,34719.44,Medical,2,108598,Married,1,Rural,34,0
142,68,6,45190.05,Home,1,165682,Divorced,4,Suburban,35,0
143,34,1,42596.26,Life,2,86036,Single,2,Suburban,56,0
144,25,16,21009.19,Life,0,24554,Widowed,1,Rural,69,0
145,52,15,6063.11,Home,4,45545,Married,2,Rural,3,1
146,52,17,4243.7,Life,0,150745,Married,4,Suburban,48,0
147,50,8,29064.67,Home,2,81971,Divorced,1,Suburban,38,0
148,76,12,32310.08,Auto,3,66059,Married,0,Urban,17,0
149,22,10,42567.21,Home,4,157843,Single,0,Suburban,59,1
150,59,15,14979.49,Life,3,89468,Divorced,0,Suburban,85,0
151,56,9,8789.79,Home,1,46055,Married,3,Urban,9,0
152,75,2,19260.79,Auto,4,188274,Single,2,Rural,22,0
153,58,5,18001.97,Medical,0,178772,Widowed,2,Urban,67,0
154,45,6,7057.21,Medical,3,23567,Widowed,1,Suburban,58,0
155,24,7,33777.99,Medical,1,193908,Divorced,3,Urban,82,0
156,26,1,25680.25,Life,4,46627,Single,2,Urban,89,0
157,25,7,36195.58,Auto,1,189640,Married,1,Urban,6,0
158,29,12,17958.21,Home,0,171832,Divorced,4,Urban,12,0
159,51,16,16622.26,Home,4,181057,Divorced,2,Urban,2,0
160,50,16,23892.5,Home,1,99944,Married,2,Urban,39,1
161,65,11,43931.66,Home,2,115368,Single,4,Rural,10,1
162,72,4,2493.92,Life,4,60785,Married,4,Urban,79,0
163,40,13,40339.22,Life,4,186655,Widowed,2,Urban,83,0
164,79,7,18764.89,Auto,4,184810,Divorced,4,Urban,50,1
165,41,4,42803.64,Home,4,44204,Widowed,1,Urban,86,0
166,54,15,40209.05,Medical,2,36643,Divorced,2,Suburban,22,0
167,52,19,17763.68,Life,0,90561,Married,2,Urban,31,1
168,61,9,34846.89,Auto,2,57126,Single,0,Urban,40,0
169,57,11,8401.82,Auto,2,78126,Married,2,Urban,41,0
170,39,8,44865.94,Life,1,102424,Widowed,0,Rural,37,0
171,44,1,20522.31,Medical,3,144453,Single,4,Urban,66,1
172,52,8,23053.47,Medical,3,65258,Single,4,Suburban,71,0
173,18,13,35435.07,Home,1,54527,Divorced,1,Rural,77,0
174,52,4,41131.59,Life,2,43898,Single,0,Suburban,71,0
175,54,8,12198.97,Medical,1,197507,Divorced,2,Rural,74,0
176,64,3,33236.83,Life,4,23794,Single,0,Rural,41,0
177,31,9,19903.9,Auto,1,165770,Single,4,Urban,42,0
178,20,2,18750.79,Auto,1,163404,Divorced,4,Urban,32,0
179,18,2,34656.28,Auto,4,29593,Single,1,Rural,78,0
180,22,13,19665.57,Life,3,78132,Married,4,Urban,36,0
181,43,15,17632.37,Home,4,140973,Single,0,Urban,77,0
182,72,12,41876.48,Home,0,121633,Widowed,2,Rural,89,0
183,31,4,5513.17,Medical,1,31036,Divorced,2,Rural,56,0
184,56,8,33956.68,Life,1,114097,Divorced,0,Suburban,63,0
185,44,9,12811.91,Home,3,73164,Married,1,Rural,63,0
186,26,5,1267.16,Life,2,170423,Widowed,2,Suburban,59,0
187,32,18,8754.83,Home,4,78413,Single,0,Suburban,51,0
188,32,11,30529.75,Auto,2,38059,Married,0,Urban,71,0
189,43,15,35601.8,Auto,0,47188,Single,4,Urban,67,0
190,59,9,1542.36,Medical,4,118591,Married,4,Rural,81,0
191,77,17,2303.06,Auto,0,101795,Divorced,1,Rural,26,0
192,30,12,45175.83,Home,0,31829,Widowed,1,Suburban,58,0
193,68,7,4128.64,Medical,0,93673,Divorced,1,Suburban,18,0
194,49,10,44762.02,Medical,4,44502,Married,0,Urban,2,0
195,56,10,11794.21,Auto,4,178276,Single,0,Rural,72,0
196,66,13,37130.88,Life,3,21265,Widowed,4,Rural,38,0
197,69,19,15831.8,Auto,1,186823,Single,2,Rural,65,0
198,78,11,43008.23,Auto,2,175387,Divorced,1,Rural,72,0
199,49,13,35172.52,Medical,2,67457,Single,3,Urban,55,0
200,21,8,20389.77,Auto,0,66875,Married,1,Urban,5,0
201,47,8,4276.97,Home,4,80359,Widowed,4,Suburban,27,1
202,54,4,36768.66,Medical,4,126334,Widowed,0,Urban,47,0
203,40,15,31035.8,Auto,0,142950,Widowed,4,Suburban,47,0
204,56,11,644.13,Life,1,194492,Married,4,Urban,66,0
205,62,11,966.28,Home,2,184451,Single,4,Urban,53,0
206,32,1,40535.25,Life,3,84102,Widowed,3,Rural,15,1
207,60,17,13340.29,Home,1,121827,Divorced,3,Suburban,34,0
208,46,15,31988.62,Life,4,112688,Divorced,1,Suburban,74,0
209,53,6,22983.61,Auto,0,79469,Divorced,0,Suburban,86,0
210,30,15,43239.79,Home,2,115789,Divorced,4,Urban,29,0
211,49,9,45889.58,Medical,0,185468,Divorced,2,Rural,47,0
212,24,14,49841.98,Medical,4,33176,Married,1,Urban,68,0
213,76,18,8107.36,Life,0,85036,Single,1,Rural,7,0
214,68,17,43216.72,Life,2,27907,Married,4,Urban,50,0
215,39,18,13668.06,Life,0,23372,Divorced,1,Suburban,9,0
216,45,5,29745.39,Home,2,178644,Divorced,4,Urban,27,0
217,19,9,25535.76,Medical,0,44592,Widowed,1,Suburban,35,0
218,59,11,1390.41,Auto,0,164174,Widowed,0,Rural,59,0
219,62,1,46672.18,Home,2,128093,Single,1,Suburban,9,0
220,79,18,4377.19,Life,0,176714,Single,1,Suburban,13,0
221,74,6,34566.84,Medical,1,23139,Single,2,Suburban,62,0
222,70,2,39357.84,Life,3,97179,Married,0,Suburban,46,0
223,23,15,39866.75,Auto,1,38643,Widowed,0,Rural,68,0
224,45,14,7206.98,Auto,3,124425,Single,0,Urban,55,0
225,45,5,22654.71,Medical,1,80117,Widowed,1,Urban,5,0
226,61,6,41556.73,Home,3,179852,Widowed,3,Urban,18,0
227,61,6,15482.62,Auto,0,126485,Widowed,1,Urban,51,0
228,37,18,23653.56,Auto,2,133607,Widowed,4,Suburban,61,0
229,47,14,14003.3,Auto,2,80332,Widowed,2,Rural,48,0
230,79,10,23445.8,Auto,4,50632,Widowed,0,Rural,77,0
231,28,14,44447.98,Life,3,189565,Married,4,Urban,10,0
232,75,13,23028.65,Life,4,199424,Divorced,4,Urban,45,0
233,72,3,28017.64,Home,4,180480,Widowed,3,Rural,68,0
234,45,6,20496.83,Medical,3,107157,Married,0,Rural,44,0
235,42,8,23275.8,Medical,2,177011,Single,1,Suburban,57,0
236,56,12,1251.12,Medical,3,197952,Married,0,Rural,31,0
237,79,13,14545.4,Auto,0,56843,Married,2,Rural,87,0
238,50,11,22110.8,Life,4,58930,Married,0,Suburban,9,0
239,18,12,31872.95,Life,4,180942,Widowed,4,Suburban,12,0
240,74,1,22777.57,Home,3,125940,Single,4,Suburban,12,0
241,44,17,17221.94,Medical,4,78103,Married,1,Rural,35,0
242,79,16,19710.89,Life,2,60770,Single,1,Rural,85,0
243,74,11,12493.52,Home,4,131757,Married,1,Rural,72,1
244,69,13,46262.47,Medical,3,50158,Widowed,2,Suburban,18,0
245,30,18,26326.29,Auto,2,108992,Married,0,Rural,6,1
246,58,11,1163.77,Life,2,67401,Married,3,Rural,14,0
247,20,12,1462.59,Life,4,164064,Single,0,Suburban,80,0
248,56,6,48661.6,Medical,3,176462,Single,1,Urban,45,0
249,23,9,11461.82,Auto,4,65858,Single,2,Urban,77,0
250,25,16,40377.61,Auto,0,167828,Divorced,0,Rural,47,0
251,44,4,3384.63,Life,0,173043,Single,4,Suburban,65,0
252,26,3,46097.56,Medical,2,158143,Married,0,Suburban,77,0
253,79,16,43783.64,Home,4,197589,Divorced,4,Rural,3,0
254,54,12,28769.11,Life,0,104811,Single,0,Rural,2,1
255,50,11,945.43,Auto,1,149970,Widowed,0,Urban,2,0
256,68,5,13261.64,Home,0,26586,Single,0,Suburban,74,0
257,59,18,20637.72,Medical,4,39703,Widowed,1,Rural,68,0
258,61,19,23273.17,Auto,4,96177,Divorced,4,Suburban,27,0
259,41,6,15235.1,Home,0,56735,Widowed,2,Rural,22,0
260,32,18,2130.92,Life,4,118525,Divorced,3,Urban,29,0
261,76,6,29711.31,Auto,4,59648,Widowed,4,Rural,61,0
262,71,4,26445.66,Medical,1,163201,Single,1,Urban,86,0
263,49,12,14508.53,Auto,2,56656,Divorced,4,Urban,50,0
264,49,19,2379.81,Life,4,180737,Married,2,Rural,40,1
265,41,2,49732.41,Medical,3,164571,Married,4,Rural,85,0
266,58,17,24358.32,Life,2,95888,Married,1,Urban,63,0
267,69,11,37922.21,Home,2,39654,Single,1,Suburban,42,1
268,66,11,22889.54,Auto,3,150117,Married,3,Suburban,75,0
269,79,16,2636.93,Life,0,106613,Divorced,2,Urban,57,0
270,66,2,15825.24,Home,1,38982,Married,3,Urban,58,0
271,75,2,16345.45,Medical,4,119970,Divorced,0,Rural,39,0
272,69,8,41998.47,Medical,0,101848,Married,1,Rural,45,0
273,29,13,32884.38,Home,3,129577,Widowed,3,Urban,61,0
274,79,10,14133.78,Home,1,99874,Divorced,1,Urban,48,0
275,56,8,48403.13,Medical,1,50173,Married,1,Suburban,78,0
276,19,4,16416.32,Life,1,146765,Married,0,Suburban,22,0
277,20,15,49912.58,Home,3,57525,Married,1,Suburban,43,0
278,66,1,49810.1,Life,0,47328,Divorced,3,Urban,43,0
279,54,11,9964.92,Medical,4,162432,Divorced,2,Urban,18,0
280,66,7,15980.69,Life,1,136242,Married,4,Suburban,43,0
281,73,17,24559.19,Life,1,124419,Widowed,3,Suburban,10,0
282,34,18,33372.98,Home,0,42625,Divorced,0,Rural,59,0
283,76,12,26638.35,Life,1,127576,Divorced,4,Rural,37,0
284,66,9,48487.35,Life,1,195966,Widowed,1,Urban,2,0
285,19,5,36337.46,Life,3,36471,Single,3,Rural,15,0
286,19,10,10996.22,Medical,2,59883,Widowed,4,Urban,8,0
287,45,4,5702.33,Medical,0,22703,Married,3,Urban,40,0
288,71,5,34575.86,Auto,0,85524,Divorced,1,Urban,37,1
289,40,10,8343.4,Medical,0,185587,Divorced,3,Suburban,68,0
290,54,11,39490.0,Medical,3,35151,Divorced,0,Rural,64,0
291,49,10,15896.32,Auto,3,69190,Divorced,4,Rural,34,1
292,50,8,16681.22,Auto,4,76195,Single,4,Rural,34,0
293,18,2,1034.52,Home,3,146559,Divorced,4,Rural,75,0
294,36,8,35200.06,Home,0,84108,Divorced,3,Suburban,84,0
295,79,16,6106.85,Medical,4,169607,Single,1,Rural,47,0
296,19,5,38757.59,Life,2,122241,Married,3,Rural,7,0
297,70,3,24847.46,Home,1,125190,Married,3,Suburban,26,0
298,61,12,39321.85,Home,1,63050,Single,4,Rural,8,0
299,43,13,29404.36,Medical,4,52976,Married,1,Rural,29,0
300,49,13,4580.45,Life,2,20599,Married,2,Suburban,13,0
301,23,10,38399.79,Auto,1,79867,Widowed,1,Suburban,22,0
302,49,4,3955.07,Auto,4,23709,Widowed,3,Suburban,28,0
303,72,9,24195.74,Medical,3,175182,Widowed,0,Suburban,25,0
304,21,2,9031.29,Medical,0,69365,Single,1,Urban,85,0
305,72,19,37740.59,Life,2,25723,Divorced,4,Suburban,14,0
306,28,1,45623.77,Medical,1,132308,Single,0,Rural,72,0
307,73,7,27929.25,Medical,0,178466,Single,2,Rural,89,0
308,76,17,26593.79,Medical,4,84120,Single,2,Rural,80,0
309,34,3,38316.18,Life,1,30316,Single,0,Rural,72,0
310,55,3,751.4,Medical,0,173694,Widowed,2,Urban,66,0
311,41,3,45929.05,Home,3,175916,Single,0,Urban,15,1
312,22,17,10273.72,Life,2,126276,Widowed,3,Urban,12,0
313,69,7,49213.88,Home,4,41162,Divorced,0,Rural,89,0
314,51,14,36944.57,Life,1,48833,Married,3,Rural,80,0
315,23,17,38825.43,Home,3,168278,Widowed,4,Suburban,23,0
316,39,18,32982.05,Life,2,146515,Single,4,Suburban,61,0
317,28,13,23847.33,Auto,2,140788,Divorced,2,Rural,56,1
318,65,18,28795.57,Medical,3,71747,Single,0,Suburban,35,0
319,33,4,2796.94,Medical,1,110037,Divorced,3,Suburban,59,0
320,50,1,31386.0,Life,2,133850,Married,4,Rural,85,1
321,26,18,31491.86,Home,4,138641,Divorced,4,Urban,72,0
322,77,1,44614.44,Auto,0,138519,Divorced,4,Rural,21,0
323,76,13,25529.99,Home,4,139271,Married,2,Rural,83,0
324,23,10,4318.65,Medical,2,75387,Married,4,Suburban,2,0
325,33,11,15656.7,Medical,0,45226,Divorced,1,Suburban,35,0
326,46,9,32953.66,Home,3,126287,Single,2,Rural,81,0
327,20,9,12343.31,Life,0,157572,Widowed,0,Urban,35,0
328,37,5,14386.13,Life,0,21634,Single,1,Rural,9,1
329,77,1,41113.22,Home,0,165131,Widowed,2,Urban,20,0
330,76,17,29423.83,Medical,2,135855,Married,2,Urban,88,0
331,53,2,25672.11,Home,1,24076,Single,3,Rural,48,0
332,36,13,16263.37,Medical,2,126694,Married,1,Rural,8,1
333,43,9,36680.94,Home,1,58210,Divorced,1,Rural,78,0
334,20,4,14742.06,Life,3,148798,Divorced,1,Urban,51,0
335,36,5,36984.64,Auto,3,177003,Single,4,Suburban,47,0
336,37,11,3970.02,Medical,3,52007,Married,4,Urban,59,0
337,49,19,43294.8,Auto,3,173816,Single,0,Urban,49,0
338,24,3,25228.54,Life,3,181468,Single,0,Urban,38,0
339,69,12,22206.15,Home,4,108619,Widowed,0,Suburban,15,0
340,58,19,30745.66,Life,2,142315,Divorced,4,Urban,27,0
341,50,19,31397.51,Auto,1,86038,Single,3,Urban,5,0
342,57,13,7035.74,Life,3,163828,Divorced,0,Urban,60,0
343,56,7,37933.56,Life,4,161677,Widowed,2,Suburban,5,1
344,35,15,14158.45,Home,4,173488,Married,4,Urban,65,0
345,57,7,45295.61,Auto,4,76558,Single,3,Suburban,39,0
346,18,8,40983.61,Auto,2,188559,Divorced,2,Suburban,70,0
347,28,5,17640.17,Auto,3,126052,Single,2,Rural,61,0
348,45,14,40483.1,Medical,4,113079,Married,4,Rural,27,0
349,74,4,18141.33,Life,4,116816,Single,1,Rural,79,0
350,42,10,5496.91,Auto,3,153942,Single,3,Suburban,46,1
351,67,15,48113.47,Life,2,147942,Divorced,4,Rural,8,0
352,40,18,32803.8,Home,4,155830,Married,1,Rural,51,0
353,48,13,23076.93,Home,1,131342,Widowed,4,Rural,14,0
354,47,8,20189.78,Medical,0,189808,Married,4,Suburban,33,0
355,59,9,16572.91,Medical,0,85138,Married,2,Urban,19,0
356,52,16,49081.66,Home,0,70250,Widowed,4,Rural,77,0
357,24,19,7169.99,Auto,2,137857,Single,1,Rural,59,0
358,77,16,16082.85,Home,4,135070,Divorced,2,Rural,57,0
359,33,7,24532.13,Life,0,60558,Single,1,Rural,74,1
360,43,14,24160.98,Medical,0,73092,Single,1,Suburban,66,0
361,65,14,23832.64,Medical,3,95121,Widowed,2,Urban,1,0
362,74,4,9201.3,Home,4,142140,Widowed,1,Urban,49,0
363,69,15,7674.16,Auto,4,150877,Single,0,Rural,13,1
364,77,3,13111.0,Auto,3,75604,Married,4,Urban,55,0
365,66,5,45769.04,Life,4,57039,Divorced,2,Rural,68,1
366,19,1,6096.12,Medical,1,89859,Married,2,Rural,43,0
367,18,3,37992.54,Home,2,112506,Single,0,Urban,45,0
368,65,15,37998.65,Home,3,120342,Single,0,Urban,5,0
369,79,8,40583.63,Medical,0,199817,Divorced,0,Suburban,7,0
370,29,4,44387.47,Home,4,25461,Married,0,Rural,38,0
371,22,2,13520.29,Medical,1,60831,Single,3,Urban,43,1
372,54,10,11615.69,Auto,1,71137,Single,2,Suburban,26,0
373,49,4,23542.53,Auto,2,54030,Widowed,1,Urban,15,0
374,76,3,13621.91,Home,1,156803,Divorced,2,Urban,38,0
375,72,2,36848.34,Auto,4,41500,Widowed,2,Rural,0,0
376,26,17,31979.01,Auto,4,53117,Widowed,2,Suburban,50,0
377,58,13,43811.89,Life,1,114138,Widowed,0,Rural,62,0
378,52,5,4595.55,Medical,4,182246,Single,0,Urban,32,0
379,36,9,45796.63,Medical,4,53208,Married,3,Suburban,49,0
380,65,6,15020.76,Home,0,104728,Widowed,2,Rural,53,1
381,33,5,24789.37,Medical,3,104482,Married,4,Suburban,26,0
382,20,10,22211.27,Life,4,45960,Single,3,Urban,80,1
383,37,8,38135.43,Home,4,161319,Widowed,0,Suburban,78,0
384,41,7,21306.5,Home,2,116342,Single,2,Urban,85,0
385,71,7,47205.88,Medical,3,127918,Widowed,0,Rural,18,0
386,73,6,45175.43,Auto,3,134761,Widowed,1,Urban,27,0
387,50,3,43671.98,Auto,3,46038,Single,0,Urban,22,0
388,41,19,4027.29,Auto,1,178842,Divorced,0,Suburban,63,0
389,69,15,42785.77,Auto,0,142232,Divorced,3,Suburban,38,0
390,28,4,39190.95,Life,0,92485,Married,1,Rural,48,0
391,66,12,5623.89,Home,2,77773,Married,4,Suburban,58,0
392,25,6,5817.01,Auto,3,103391,Single,4,Rural,19,0
393,53,19,5507.61,Life,3,72633,Single,4,Urban,60,1
394,55,4,1060.96,Home,4,142226,Single,2,Urban,8,0
395,57,15,27657.4,Medical,1,170636,Divorced,4,Suburban,22,0
396,37,9,48683.02,Medical,1,169186,Divorced,2,Urban,6,0
397,79,5,22214.89,Life,2,52803,Widowed,0,Urban,30,0
398,52,13,27267.5,Home,0,135708,Widowed,4,Rural,59,1
399,65,18,48414.5,Auto,3,149997,Single,3,Suburban,60,1
400,79,5,13131.52,Home,2,123838,Single,1,Rural,74,1
401,42,16,42994.28,Auto,1,43545,Married,1,Urban,80,1
402,52,19,27546.33,Life,1,82759,Divorced,0,Urban,25,1
403,42,14,28689.09,Auto,1,126313,Single,1,Urban,81,0
404,46,16,17487.11,Life,3,96488,Divorced,1,Suburban,53,1
405,35,15,28298.43,Home,3,137805,Single,0,Urban,30,0
406,63,4,4120.55,Home,3,73866,Widowed,0,Urban,40,0
407,35,7,38349.86,Auto,4,147145,Single,0,Rural,27,0
408,19,16,14592.04,Home,0,90499,Widowed,3,Suburban,89,0
409,71,8,44436.61,Auto,1,98243,Married,0,Urban,5,0
